"","id","Groupe","Family","FR_Species","Nom commun","Tendance","Cat_liste rouge France","Crit_liste rouge France","Cat_liste rouge monde","rq","data_Obsmer","Amaelle","Species"
"33",33,"Requins","Oxynotidae","Oxynotus paradoxus","Humantin","?","DD",NA,"DD",NA,1,NA,"Oxynotus paradoxus"
"34",34,"Requins","Pseudotriakidae","Pseudotriakis microdon","Requin à longue dorsale","?","DD",NA,"DD",NA,1,NA,"Pseudotriakis microdon"
"35",35,"Requins","Scyliorhinidae","Apristurus melanoasper","Holbiche noire","?","DD",NA,"DD",NA,1,NA,"Apristurus melanoasper"
"36",36,"Requins","Somniosidae","Centroselachus crepidater","Pailona à long nez","?","DD",NA,"LC",NA,1,NA,"Centroselachus crepidater"
"37",37,"Requins","Somniosidae","Somniosus microcephalus","Laimargue du Groenland","?","DD",NA,"NT",NA,1,NA,"Somniosus microcephalus"
"38",38,"Requins","Somniosidae","Somniosus rostratus","Laimargue de Méditerranée","?","DD",NA,"DD",NA,1,NA,"Somniosus rostratus"
"39",39,"Requins","Somniosidae","Zameus squamulosus","Squale-grogneur velouté","?","DD",NA,"DD",NA,NA,NA,"Zameus squamulosus"
"40",40,"Requins","Sphyrnidae","Sphyrna lewini","Requin-marteau halicorne","?","DD",NA,"EN",NA,1,NA,"Sphyrna lewini"
"41",41,"Requins","Sphyrnidae","Sphyrna mokarran","Grand requin-marteau","?","DD",NA,"EN",NA,1,NA,"Sphyrna mokarran"
"42",42,"Requins","Sphyrnidae","Sphyrna zygaena","Requin-marteau commun","?","DD",NA,"VU",NA,1,NA,"Sphyrna zygaena"
"43",43,"Requins","Squalidae","Squalus blainvillei","Aiguillat-coq","?","DD",NA,"DD",NA,1,NA,"Squalus blainville"
"44",44,"Requins","Squalidae","Squalus uyato","Petit squale-chagrin","?","DD",NA,"DD",NA,NA,NA,"Centrophorus uyato"
"45",45,"Requins","Squatinidae","Squatina aculeata","Ange de mer épineux","?","DD",NA,"CR",NA,1,NA,"Squatina aculeata"
"46",46,"Requins","Squatinidae","Squatina oculata","Ange de mer ocellé","?","DD",NA,"CR",NA,1,NA,"Squatina oculata"
"47",47,"Requins","Triakidae","Galeorhinus galeus","Requin hâ","?","DD",NA,"VU",NA,1,1,"Galeorhinus galeus"
"48",48,"Requins","Triakidae","Mustelus asterias","Émissole tachetée","?","DD",NA,"LC",NA,1,NA,"Mustelus asterias"
"49",49,"Requins","Triakidae","Mustelus mustelus","Émissole lisse","?","DD",NA,"VU",NA,1,NA,"Mustelus mustelus"
"50",50,"Requins","Triakidae","Mustelus punctulatus","Émissole pointillée","?","DD",NA,"DD",NA,1,NA,"Mustelus punctulatus"
"51",51,"Raies","Rajidae","Dipturus intermedia",NA,"-","CR","A2bd+A4bd","NE",NA,NA,NA,"Dipturus intermedius"
"52",52,"Raies","Rajidae","Rostroraja alba","Raie blanche","?","CR","A2bd","EN",NA,1,NA,"Rostroraja alba"
"53",53,"Raies","Myliobatidae","Mobula mobular","Mante de méditerrannée","?","EN","A2bd","EN",NA,1,NA,"Mobula mobular"
"54",54,"Raies","Rajidae","Leucoraja naevus","Raie fleurie","=","VU","A2bd","LC",NA,1,NA,"Leucoraja naevus"
